"case","K","algorithm","makespan","singlecore_makespan","speedup","added_copy_bytes","num_subgraphs","topo_mode","candidate_count","evaluator_count","cache_hits","solver_time","evaluator_time","total_wall_time","success","failure_reason"
"case_025","5","v0","2434536","4863026","1.9975","340992","10","deterministic","4","4","0","0.941447","28.493203","29.931614","True",""
"case_025","5","v1_partition","975282","4863026","4.9863","110592","5","deterministic","4","3","1","3.967485","86.624944","91.173609","True",""
"case_025","5","v1_schedule","2436310","4863026","1.9961","340992","10","deterministic","4","4","0","1.17745","40.470389","42.127675","True",""
"case_025","5","v1","975282","4863026","4.9863","110592","5","deterministic","4","1","3","4.36983","61.630834","66.530865","True",""
