model,selection_rule,n_seeds,clean_accuracy_mean,clean_accuracy_sample_sd,clean_macro_f1_mean,clean_macro_f1_sample_sd,clean_mae_mean,clean_mae_sample_sd,clean_pearson_mean,clean_pearson_sample_sd,clean_selection_score_mean,clean_selection_score_sample_sd,mean_missing_accuracy_mean,mean_missing_accuracy_sample_sd,mean_missing_macro_f1_mean,mean_missing_macro_f1_sample_sd,mean_missing_mae_mean,mean_missing_mae_sample_sd,mean_missing_pearson_mean,mean_missing_pearson_sample_sd,mean_missing_selection_score_mean,mean_missing_selection_score_sample_sd,robust_score_mean,robust_score_sample_sd
B0,CleanSelect,3,0.6401098901098901,0.0047583813394749845,0.6139303876941798,0.009120742418254203,0.6079476810735907,0.01032250723884167,0.6409285943036162,0.004319007857755449,0.7432949903609033,0.0018421583988084353,0.6348867182200515,0.006242170408063446,0.6092439311021578,0.007547019801043477,0.6111421151250752,0.00978220689900166,0.635919992867766,0.003830021863480653,0.7400584066421448,0.001138689385915372,0.7416766985015241,0.0014580622986521538
P2,CleanSelect,3,0.6414835164835164,0.0049526803234395895,0.6242996538336848,0.0025959715684437967,0.6051662996984445,0.006314578529454924,0.647537252427712,0.002397958931277445,0.7471726866453291,0.0018716894257164358,0.6333859042192376,0.0038374708356663434,0.6162974693419195,0.0012556616350256182,0.6085648576843915,0.0058992628177134306,0.6416659026647094,0.0023564428574480625,0.7422722121531949,0.0009998368858301783,0.744722449399262,0.001435186402645287
