condition,seed,accuracy_improvement,macro_f1_improvement,mae_improvement,pearson_improvement,accuracy_sample_sd,accuracy_positive_seeds,macro_f1_sample_sd,macro_f1_positive_seeds,mae_sample_sd,mae_positive_seeds,pearson_sample_sd,pearson_positive_seeds
clean,42,0.0013736263736263687,0.020087131928048896,0.009654871919857588,0.010327054589267859,,,,,,,,
clean,43,0.0027472527472527375,0.011020666490466069,-0.0021818250847550624,0.0095236410981826,,,,,,,,
clean,44,0.0,0.0,0.0008710972903358538,-2.472131516273457e-05,,,,,,,,
clean,mean,0.0013736263736263687,0.010369266139504988,0.0027813813751461267,0.006608658124095908,0.0013736263736263687,2,0.010059396556783836,2,0.006145220741215167,2,0.005758703013552525,2
mean_missing,42,-0.004298941798941858,0.013470040181369658,0.00945815965051855,0.00900558856230893,,,,,,,,
mean_missing,43,0.00035612535612539187,0.008107848418003272,-0.0025544496944709394,0.008254957706636201,,,,,,,,
mean_missing,44,-0.0005596255596255206,-0.0004172738800877207,0.0008280623660033015,-2.281687811533928e-05,,,,,,,,
mean_missing,mean,-0.0015008140008139954,0.007053538239761736,0.002577257440683637,0.005745909796943264,0.0024661284062101403,1,0.007003431332164665,2,0.00619438926576274,2,0.005009941841880154,2
