model,n_seeds,n_scenarios_per_seed,accuracy_mean,accuracy_sd,accuracy_mean_sd,macro_f1_mean,macro_f1_sd,macro_f1_mean_sd,mae_mean,mae_sd,mae_mean_sd,pearson_mean,pearson_sd,pearson_mean_sd,selection_score_mean,selection_score_sd,selection_score_mean_sd,robust_score_mean,robust_score_sd,robust_score_mean_sd
TFN,3,54,0.576660222494,0.0197107887368,0.5767 ± 0.0197,0.558229497236,0.0126613300608,0.5582 ± 0.0127,0.645136784593,0.0100680272848,0.6451 ± 0.0101,0.578382619715,0.00700824320356,0.5784 ± 0.0070,0.704139558039,0.00698599435701,0.7041 ± 0.0070,0.713861683924,0.00389014377542,0.7139 ± 0.0039
MulT,3,54,0.600037308371,0.020860699265,0.6000 ± 0.0209,0.574918063823,0.0229772260306,0.5749 ± 0.0230,0.630899704481,0.0189388645868,0.6309 ± 0.0189,0.623185353414,0.00568324076966,0.6232 ± 0.0057,0.720349524538,0.00724038086264,0.7203 ± 0.0072,0.725315420647,0.00609492602704,0.7253 ± 0.0061
MISA,3,54,0.607872066205,0.00952554098429,0.6079 ± 0.0095,0.59575278685,0.00803583608366,0.5958 ± 0.0080,0.924729106794,0.10253053302,0.9247 ± 0.1025,0.619755278449,0.00770746690615,0.6198 ± 0.0077,0.71484524362,0.00244397572166,0.7148 ± 0.0024,0.716751647194,0.00190859512049,0.7168 ± 0.0019
本文模型（P2）,3,54,0.63401336318,0.00492006284113,0.6340 ± 0.0049,0.61634210552,0.00119035700032,0.6163 ± 0.0012,0.609129131763,0.00601493905379,0.6091 ± 0.0060,0.641426143234,0.00248371710272,0.6414 ± 0.0025,0.742386754589,0.00113200445497,0.7424 ± 0.0011,0.744777150003,0.00149212174071,0.7448 ± 0.0015
