model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,42,vision_r0.2_middle,vision,0.2,middle,728,0.645604395604,0.621082948388,0.606590351126,0.647188066562,0.747295746355,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.2_late,vision,0.2,late,728,0.645604395604,0.621491880896,0.608725540652,0.646395966055,0.747210000688,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.3_early,vision,0.3,early,728,0.649725274725,0.624595459765,0.609466059231,0.644350489991,0.748729575737,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.3_middle,vision,0.3,middle,728,0.645604395604,0.620814742916,0.606028819718,0.647733648515,0.747320289873,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.3_late,vision,0.3,late,728,0.646978021978,0.623385673894,0.608767991886,0.64610061485,0.747988167829,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.4_early,vision,0.4,early,728,0.649725274725,0.624293454416,0.609888719635,0.643692223164,0.748554180196,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.4_middle,vision,0.4,middle,728,0.644230769231,0.619999183502,0.606328782876,0.647638367177,0.746748584794,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.4_late,vision,0.4,late,728,0.642857142857,0.618567703106,0.608602421266,0.646335395438,0.745789701701,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.5_early,vision,0.5,early,728,0.649725274725,0.624293454416,0.609703059646,0.643331416159,0.748516815153,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.5_middle,vision,0.5,middle,728,0.642857142857,0.619172238141,0.606643411771,0.647276175071,0.74614005831,15,0.466666666667,0.49728049728
B5-P2,42,vision_r0.5_late,vision,0.5,late,728,0.637362637363,0.613754122178,0.607540027955,0.646497239695,0.743277177016,15,0.466666666667,0.49728049728
B5-P2,43,text_r0.1_early,text,0.1,early,728,0.626373626374,0.610406709905,0.596769526811,0.650088240234,0.740590717149,15,0.4,0.397402597403
B5-P2,43,text_r0.1_middle,text,0.1,middle,728,0.625,0.61237513855,0.598807771363,0.644223387547,0.739921384274,15,0.4,0.397402597403
B5-P2,43,text_r0.1_late,text,0.1,late,728,0.633241758242,0.612375339871,0.610282807376,0.646618034473,0.74180307853,15,0.533333333333,0.555555555556
B5-P2,43,text_r0.2_early,text,0.2,early,728,0.625,0.608435716241,0.602464636291,0.640522450714,0.738321542221,15,0.466666666667,0.49728049728
B5-P2,43,text_r0.2_middle,text,0.2,middle,728,0.623626373626,0.612726681324,0.597749001828,0.643996058279,0.739681562613,15,0.466666666667,0.444444444444
B5-P2,43,text_r0.2_late,text,0.2,late,728,0.629120879121,0.606020882987,0.616123750596,0.642292208954,0.738400143705,15,0.6,0.609168609169
B5-P2,43,text_r0.3_early,text,0.3,early,728,0.616758241758,0.603307388015,0.610730967003,0.627370746891,0.732990627179,15,0.466666666667,0.49728049728
B5-P2,43,text_r0.3_middle,text,0.3,middle,728,0.630494505495,0.621780190795,0.596797537575,0.641591677198,0.743401069656,15,0.533333333333,0.489814814815
B5-P2,43,text_r0.3_late,text,0.3,late,728,0.629120879121,0.606677646739,0.616507908288,0.639538964886,0.738204172564,15,0.533333333333,0.555555555556
B5-P2,43,text_r0.4_early,text,0.4,early,728,0.616758241758,0.605338938975,0.609757485047,0.622597307163,0.732942396702,15,0.6,0.623148148148
B5-P2,43,text_r0.4_middle,text,0.4,middle,728,0.615384615385,0.608666780692,0.593323084398,0.640679219461,0.736375956269,15,0.4,0.373529411765
B5-P2,43,text_r0.4_late,text,0.4,late,728,0.614010989011,0.58956685395,0.619329392025,0.634219297461,0.729366481589,15,0.4,0.410989010989
B5-P2,43,text_r0.5_early,text,0.5,early,728,0.608516483516,0.600473792799,0.623541079784,0.60203207718,0.726520700402,15,0.533333333333,0.510893246187
