seed,modality,rho,accuracy,macro_f1,mae,pearson
42,audio,0.1,0.648351648352,0.623434796653,0.60829482831,0.646290490015
42,audio,0.2,0.647893772894,0.623048098445,0.60813864871,0.646330511154
42,audio,0.3,0.647435897436,0.622661400236,0.608090390758,0.646338337759
42,audio,0.4,0.647435897436,0.622661400236,0.608237848912,0.646300509216
42,audio,0.5,0.647435897436,0.622661400236,0.608678625791,0.646199096708
42,text,0.1,0.645604395604,0.619331265856,0.609978352518,0.644324882371
42,text,0.2,0.634615384615,0.608550233817,0.613014066865,0.639799258666
42,text,0.3,0.627747252747,0.603162833515,0.613983253633,0.632287973297
42,text,0.4,0.623626373626,0.601848152054,0.614363262592,0.62549271693
42,text,0.5,0.611721611722,0.59129664127,0.620122752591,0.611513322297
42,vision,0.1,0.648351648352,0.62332225501,0.607845663088,0.646324708256
42,vision,0.2,0.646062271062,0.621666606759,0.607941699107,0.646353433589
42,vision,0.3,0.647435897436,0.622931958858,0.608087623611,0.646061584452
42,vision,0.4,0.645604395604,0.620953447008,0.608273307926,0.645888661926
42,vision,0.5,0.643315018315,0.619073271579,0.607962166457,0.645701610309
43,audio,0.1,0.64010989011,0.627014985749,0.598658909663,0.650052733249
43,audio,0.2,0.640567765568,0.627386427077,0.598628501797,0.650058656186
43,audio,0.3,0.640567765568,0.627386427077,0.598655693197,0.650040903373
43,audio,0.4,0.640567765568,0.627386427077,0.598803314657,0.650003799326
43,audio,0.5,0.640567765568,0.627210239554,0.599077218913,0.649944341972
43,text,0.1,0.628205128205,0.611719062775,0.601953368516,0.646976554085
43,text,0.2,0.625915750916,0.609061093517,0.605445796238,0.642270239316
43,text,0.3,0.625457875458,0.610588408516,0.608012137622,0.636167129658
43,text,0.4,0.615384615385,0.601190857872,0.607469987157,0.632498608028
43,text,0.5,0.600732600733,0.590918850028,0.617439209977,0.618285925068
43,vision,0.1,0.639652014652,0.626589929943,0.598822968326,0.650162056732
43,vision,0.2,0.636446886447,0.622459881308,0.598946370541,0.650158340748
43,vision,0.3,0.634615384615,0.620459570294,0.599163896947,0.649787006736
43,vision,0.4,0.638278388278,0.623826224247,0.598960209061,0.649771374467
43,vision,0.5,0.636904761905,0.622749957337,0.599826458538,0.64932608335
44,audio,0.1,0.636446886447,0.621110568721,0.611197933901,0.645315264735
44,audio,0.2,0.636446886447,0.621110568721,0.611195219357,0.645313458942
44,audio,0.3,0.636446886447,0.621112134402,0.61117679748,0.645326467055
44,audio,0.4,0.636446886447,0.621078990841,0.61116589666,0.645329252175
44,audio,0.5,0.636446886447,0.621146021585,0.611487958115,0.645211241307
44,text,0.1,0.633241758242,0.617877848321,0.615018425712,0.640659210175
44,text,0.2,0.625915750916,0.609946874382,0.617728235903,0.63706255982
44,text,0.3,0.627289377289,0.612964504608,0.620522355596,0.63194601022
44,text,0.4,0.617216117216,0.604904100258,0.619315418292,0.630008500734
44,text,0.5,0.607142857143,0.597746697654,0.629163824457,0.615415454092
44,vision,0.1,0.635989010989,0.620816381113,0.610407693103,0.64549679231
44,vision,0.2,0.636446886447,0.621317616104,0.610352773455,0.645441483313
44,vision,0.3,0.634615384615,0.620002566517,0.610248027844,0.64496800989
44,vision,0.4,0.631868131868,0.616955200751,0.609639828622,0.644476313142
44,vision,0.5,0.632326007326,0.617258154697,0.608562335957,0.644067970836
