modality,rho,metric,mean,sd,seed42,seed43,seed44
text,0.1,accuracy,0.635683760684,0.00895299717708,0.645604395604,0.628205128205,0.633241758242
text,0.2,accuracy,0.628815628816,0.00502273585833,0.634615384615,0.625915750916,0.625915750916
text,0.3,accuracy,0.626831501832,0.00121142459298,0.627747252747,0.625457875458,0.627289377289
text,0.4,accuracy,0.618742368742,0.00432766998741,0.623626373626,0.615384615385,0.617216117216
text,0.5,accuracy,0.606532356532,0.00551988440782,0.611721611722,0.600732600733,0.607142857143
text,0.1,macro_f1,0.616309392317,0.0040412188276,0.619331265856,0.611719062775,0.617877848321
text,0.2,macro_f1,0.609186067239,0.000706657654135,0.608550233817,0.609061093517,0.609946874382
text,0.3,macro_f1,0.60890524888,0.00511301856285,0.603162833515,0.610588408516,0.612964504608
text,0.4,macro_f1,0.602647703395,0.00198154081821,0.601848152054,0.601190857872,0.604904100258
text,0.5,macro_f1,0.593320729651,0.00383765242426,0.59129664127,0.590918850028,0.597746697654
text,0.1,mae,0.608983382249,0.00658911255491,0.609978352518,0.601953368516,0.615018425712
text,0.2,mae,0.612062699669,0.00619624125452,0.613014066865,0.605445796238,0.617728235903
text,0.3,mae,0.614172582284,0.0062572575814,0.613983253633,0.608012137622,0.620522355596
text,0.4,mae,0.61371622268,0.00594916424223,0.614363262592,0.607469987157,0.619315418292
text,0.5,mae,0.622241929008,0.00614286803483,0.620122752591,0.617439209977,0.629163824457
text,0.1,pearson,0.64398688221,0.00317220610922,0.644324882371,0.646976554085,0.640659210175
text,0.2,pearson,0.639710685934,0.00260496934306,0.639799258666,0.642270239316,0.63706255982
text,0.3,pearson,0.633467037725,0.0023445910139,0.632287973297,0.636167129658,0.63194601022
text,0.4,pearson,0.629333275231,0.00355141867887,0.62549271693,0.632498608028,0.630008500734
text,0.5,pearson,0.615071567152,0.00339937211035,0.611513322297,0.618285925068,0.615415454092
audio,0.1,accuracy,0.641636141636,0.00609737007187,0.648351648352,0.64010989011,0.636446886447
audio,0.2,accuracy,0.641636141636,0.00579774722626,0.647893772894,0.640567765568,0.636446886447
audio,0.3,accuracy,0.641483516484,0.00555144489605,0.647435897436,0.640567765568,0.636446886447
audio,0.4,accuracy,0.641483516484,0.00555144489605,0.647435897436,0.640567765568,0.636446886447
audio,0.5,accuracy,0.641483516484,0.00555144489605,0.647435897436,0.640567765568,0.636446886447
audio,0.1,macro_f1,0.623853450375,0.00297438872963,0.623434796653,0.627014985749,0.621110568721
audio,0.2,macro_f1,0.623848364748,0.00321355241802,0.623048098445,0.627386427077,0.621110568721
audio,0.3,macro_f1,0.623719987238,0.00326835462812,0.622661400236,0.627386427077,0.621112134402
audio,0.4,macro_f1,0.623708939385,0.00328160656859,0.622661400236,0.627386427077,0.621078990841
audio,0.5,macro_f1,0.623672553792,0.00315602733307,0.622661400236,0.627210239554,0.621146021585
audio,0.1,mae,0.606050557291,0.00656386673501,0.60829482831,0.598658909663,0.611197933901
audio,0.2,mae,0.605987456621,0.0065537255137,0.60813864871,0.598628501797,0.611195219357
audio,0.3,mae,0.605974293812,0.00652325937189,0.608090390758,0.598655693197,0.61117679748
audio,0.4,mae,0.606069020076,0.00646035775619,0.608237848912,0.598803314657,0.61116589666
audio,0.5,mae,0.60641460094,0.00650776215579,0.608678625791,0.599077218913,0.611487958115
audio,0.1,pearson,0.647219496,0.00250163767753,0.646290490015,0.650052733249,0.645315264735
audio,0.2,pearson,0.647234208761,0.00249834470114,0.646330511154,0.650058656186,0.645313458942
audio,0.3,pearson,0.647235236062,0.00248189390895,0.646338337759,0.650040903373,0.645326467055
audio,0.4,pearson,0.647211186906,0.00246674849872,0.646300509216,0.650003799326,0.645329252175
audio,0.5,pearson,0.647118226662,0.00249683006669,0.646199096708,0.649944341972,0.645211241307
vision,0.1,accuracy,0.641330891331,0.00635001345016,0.648351648352,0.639652014652,0.635989010989
vision,0.2,accuracy,0.639652014652,0.00555144489605,0.646062271062,0.636446886447,0.636446886447
vision,0.3,accuracy,0.638888888889,0.00740192652807,0.647435897436,0.634615384615,0.634615384615
vision,0.4,accuracy,0.638583638584,0.00687321749035,0.645604395604,0.638278388278,0.631868131868
vision,0.5,accuracy,0.637515262515,0.00551988440782,0.643315018315,0.636904761905,0.632326007326
vision,0.1,macro_f1,0.623576188688,0.00289513872845,0.62332225501,0.626589929943,0.620816381113
vision,0.2,macro_f1,0.62181470139,0.000585355843636,0.621666606759,0.622459881308,0.621317616104
vision,0.3,macro_f1,0.621131365223,0.00157601275137,0.622931958858,0.620459570294,0.620002566517
vision,0.4,macro_f1,0.620578290669,0.00345084014144,0.620953447008,0.623826224247,0.616955200751
vision,0.5,macro_f1,0.619693794538,0.00279799224725,0.619073271579,0.622749957337,0.617258154697
vision,0.1,mae,0.605692108173,0.00608521249596,0.607845663088,0.598822968326,0.610407693103
vision,0.2,mae,0.605746947701,0.0060115894037,0.607941699107,0.598946370541,0.610352773455
vision,0.3,mae,0.6058331828,0.00587591413843,0.608087623611,0.599163896947,0.610248027844
vision,0.4,mae,0.605624448536,0.00581170461564,0.608273307926,0.598960209061,0.609639828622
vision,0.5,mae,0.605450320317,0.00487964310611,0.607962166457,0.599826458538,0.608562335957
vision,0.1,pearson,0.647327852433,0.00248915582307,0.646324708256,0.650162056732,0.64549679231
vision,0.2,pearson,0.64731775255,0.00250192312218,0.646353433589,0.650158340748,0.645441483313
vision,0.3,pearson,0.646938867026,0.00252644041792,0.646061584452,0.649787006736,0.64496800989
vision,0.4,pearson,0.646712116512,0.00274189290465,0.645888661926,0.649771374467,0.644476313142
vision,0.5,pearson,0.646365221498,0.00269113761468,0.645701610309,0.64932608335,0.644067970836
