model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,44,clean,none,0.0,clean,728,0.6373626373626373,0.6218423070928129,0.6118226447091489,0.6454045366394934,0.7449841929975847,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,text_r0.1_early,text,0.1,early,728,0.6291208791208791,0.6113980483247373,0.6171574282797647,0.6401025416235608,0.7394276567193591,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.1_middle,text,0.1,middle,728,0.6318681318681318,0.6205504604000844,0.6124198484889508,0.6398576531480912,0.7425693610235259,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,text_r0.1_late,text,0.1,late,728,0.6414835164835165,0.6239297149528625,0.6181192364451568,0.6420285620828647,0.745851909934238,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.2_early,text,0.2,early,728,0.6318681318681318,0.6152311285623903,0.6230940153095667,0.63349846902124,0.7399998730973869,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.2_middle,text,0.2,middle,728,0.6208791208791209,0.6099701081195344,0.6139056295934286,0.6368010214786495,0.7367330337014354,15,0.4,0.37407407407407406
B0-WCE,44,text_r0.2_late,text,0.2,late,728,0.6263736263736264,0.6057342973161277,0.6187619297959648,0.640906236548459,0.7373585134161641,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.3_early,text,0.3,early,728,0.6291208791208791,0.6130069632465063,0.6321194336422116,0.6227711040797235,0.7370400388667196,15,0.4666666666666667,0.4761904761904762
B0-WCE,44,text_r0.3_middle,text,0.3,middle,728,0.6263736263736264,0.6179490308946481,0.6113023220070197,0.6368740728946952,0.7402189933452796,15,0.4,0.3421052631578947
B0-WCE,44,text_r0.3_late,text,0.3,late,728,0.625,0.6062681582619683,0.62065249193296,0.6361259568882017,0.7364722636793106,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.4_early,text,0.4,early,728,0.6208791208791209,0.6075453539369402,0.6337062770470077,0.6182610643516009,0.7329843235376734,15,0.4666666666666667,0.4666666666666666
B0-WCE,44,text_r0.4_middle,text,0.4,middle,728,0.6112637362637363,0.6034414428188882,0.6071505702847799,0.6376344152865342,0.7330826562529404,15,0.4,0.3421052631578947
B0-WCE,44,text_r0.4_late,text,0.4,late,728,0.6236263736263736,0.6073719815203044,0.6193644607408935,0.6340577547611984,0.7361999556009486,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text_r0.5_early,text,0.5,early,728,0.6098901098901099,0.5986459165067258,0.6470670098142064,0.5987818622312804,0.7250206139691937,15,0.4,0.39760348583877997
B0-WCE,44,text_r0.5_middle,text,0.5,middle,728,0.603021978021978,0.5994662697292128,0.6164177606383768,0.6271583446734359,0.7283327816620448,15,0.4,0.3421052631578947
B0-WCE,44,text_r0.5_late,text,0.5,late,728,0.6112637362637363,0.5971012679856401,0.6263392581450906,0.6200912403842734,0.7285051870209995,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.1_early,audio,0.1,early,728,0.6373626373626373,0.6218423070928129,0.6118408413348044,0.64540269057197,0.7449832040464086,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.1_middle,audio,0.1,middle,728,0.6373626373626373,0.6218423070928129,0.6123555850565106,0.6452580040006146,0.7449436705699182,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.1_late,audio,0.1,late,728,0.6373626373626373,0.6218423070928129,0.6120215719719264,0.6453603520104559,0.744970381283006,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.2_early,audio,0.2,early,728,0.6373626373626373,0.6218423070928129,0.6118937147330943,0.6454151256706433,0.7449825553754807,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.2_middle,audio,0.2,middle,728,0.6373626373626373,0.6219464522027255,0.6123490158499187,0.6452491312291116,0.7449688714678997,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.2_late,audio,0.2,late,728,0.6373626373626373,0.6218423070928129,0.6119694601601133,0.6453518373351336,0.7449714882740829,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.3_early,audio,0.3,early,728,0.635989010989011,0.6207446995353615,0.611922267778357,0.6454103511031903,0.7443629603615604,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.3_middle,audio,0.3,middle,728,0.6373626373626373,0.6220553119272899,0.6123743477062538,0.6452501829766941,0.7449951623734746,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.3_late,audio,0.3,late,728,0.6373626373626373,0.6218423070928129,0.6118744384743028,0.6453943750301081,0.7449807647228635,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.4_early,audio,0.4,early,728,0.635989010989011,0.6207446995353615,0.6119662966875994,0.6453986547540619,0.7443596637800342,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.4_middle,audio,0.4,middle,728,0.6373626373626373,0.6220553119272899,0.6124187465347759,0.6452306646311404,0.7449908726290921,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.4_late,audio,0.4,late,728,0.6373626373626373,0.6218423070928129,0.6117558495786327,0.645434192887302,0.744990683158999,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.5_early,audio,0.5,early,728,0.635989010989011,0.6208510581265999,0.6125089116189834,0.6452602666695272,0.7443463459618027,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.5_middle,audio,0.5,middle,728,0.635989010989011,0.6209621141292675,0.612382278941408,0.6451901271288991,0.7443706188814566,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio_r0.5_late,audio,0.5,late,728,0.6373626373626373,0.6218423070928129,0.6122334223639753,0.6452631400879008,0.7449494026930179,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.1_early,vision,0.1,early,728,0.6373626373626373,0.6218423070928129,0.6117638102323226,0.64536741340628,0.7449820040299675,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.1_middle,vision,0.1,middle,728,0.6373626373626373,0.6219464522027255,0.6097619280751262,0.6462331767964968,0.7451996724877725,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.1_late,vision,0.1,late,728,0.6373626373626373,0.6219464522027255,0.612292593017548,0.6449855633244873,0.7449382764311705,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.2_early,vision,0.2,early,728,0.6373626373626373,0.6226252579916468,0.6123648762375444,0.6446619796064919,0.7450645181128183,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.2_middle,vision,0.2,middle,728,0.6346153846153846,0.6190167985433465,0.6090883505121283,0.6466611423196563,0.7438620073083011,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.2_late,vision,0.2,late,728,0.6387362637362637,0.6236146516022677,0.6120693563882794,0.6451392114106468,0.745727240411452,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.3_early,vision,0.3,early,728,0.6387362637362637,0.6234969694448479,0.6134674594389623,0.6435044903231175,0.7454352254423775,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.3_middle,vision,0.3,middle,728,0.6346153846153846,0.6191276200456418,0.6079329433288057,0.6472294827892974,0.7440088972085519,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.3_late,vision,0.3,late,728,0.6332417582417582,0.6192193381773986,0.6117164587581551,0.6443598136597438,0.7431720650306675,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.4_early,vision,0.4,early,728,0.6346153846153846,0.6185740442857354,0.6138998683347561,0.6421759631826236,0.742990191442493,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.4_middle,vision,0.4,middle,728,0.6318681318681318,0.6165728816308702,0.6070864395606894,0.6470969931698064,0.7427021092059476,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.4_late,vision,0.4,late,728,0.6332417582417582,0.619161916734035,0.6102891599626413,0.6444263065043478,0.7432254920585484,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.5_early,vision,0.5,early,728,0.6346153846153846,0.6181789908350107,0.6118329755429711,0.6421549049549756,0.742974916334347,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.5_middle,vision,0.5,middle,728,0.6291208791208791,0.6142222205373357,0.6071222774571852,0.6460448703639625,0.7412946221493331,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,vision_r0.5_late,vision,0.5,late,728,0.6332417582417582,0.6192793304017424,0.6089323963918775,0.6443107846675351,0.7432969370613223,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,text+audio_r0.3_early,text+audio,0.3,early,728,0.6291208791208791,0.6130069632465063,0.6322138016982065,0.6227779892938125,0.7370369675161477,15,0.4666666666666667,0.4761904761904762
B0-WCE,44,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.625,0.6162049422812078,0.6116088410163973,0.636802688787325,0.739417869959701,15,0.4,0.3421052631578947
B0-WCE,44,text+audio_r0.3_late,text+audio,0.3,late,728,0.625,0.6062681582619683,0.620625884661062,0.6361232379269544,0.7364730324454838,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,text+vision_r0.3_early,text+vision,0.3,early,728,0.6318681318681318,0.6158303326514303,0.6330310748583012,0.6211128751098517,0.7381874307328595,15,0.4666666666666667,0.4761904761904762
B0-WCE,44,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6277472527472527,0.6196581196581197,0.6078717371878716,0.6383158745472138,0.7413128383702502,15,0.4,0.3421052631578947
B0-WCE,44,text+vision_r0.3_late,text+vision,0.3,late,728,0.6263736263736264,0.6087989121261628,0.6210452225417472,0.6345280174367885,0.7372322525319731,15,0.4666666666666667,0.45384615384615384
B0-WCE,44,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.635989010989011,0.6208266545967162,0.6135552770939174,0.6435131621665061,0.7440782584549985,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.635989010989011,0.6203299068953626,0.6080284432436411,0.6472120136018928,0.7446467127028449,15,0.4666666666666667,0.4444444444444445
B0-WCE,44,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.6332417582417582,0.6192193381773986,0.6117716343346778,0.6443470323912059,0.7431681683897451,15,0.4666666666666667,0.4444444444444445
