modality,classification_primary_count,regression_primary_count,n_valid,source
Text,656,620,728,Attachment2 validation; all valid samples
Audio,7,4,728,Attachment2 validation; all valid samples
Vision,65,104,728,Attachment2 validation; all valid samples
