deletion_ratio_percent,top_minus_random_mean_class_margin_drop,top_minus_random_median_class_margin_drop,ci95_lower,ci95_upper,fraction_top_gt_random,negative_effect_fraction,n_samples,n_video_ids,bootstrap_unit,bootstrap_reps,source
10,0.10829646497673515,0.06442778999911604,0.09247486761436913,0.1250765755751227,0.8409090909090909,0.11363636363636363,396,126,video_id,1000,Attachment2 validation audit; frozen B5-P2 seed42
20,0.23775819690301975,0.16064744046593216,0.21213547683515188,0.26541115712748936,0.9191919191919192,0.05555555555555555,396,126,video_id,1000,Attachment2 validation audit; frozen B5-P2 seed42
30,0.4180757026124943,0.3262805058371707,0.3814606575783341,0.45444965700824885,1.0,0.0,396,126,video_id,1000,Attachment2 validation audit; frozen B5-P2 seed42
40,0.4654645494473791,0.3499763831601138,0.4217788883568801,0.5093878674357768,0.9873737373737373,0.0025252525252525255,396,126,video_id,1000,Attachment2 validation audit; frozen B5-P2 seed42
