model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0,clean,none,0.0,clean,728,0.6373626373626373,0.6218423070928129,0.6118226457376975,0.6454045350559907,0.7449841927567907,0.0,0.0,0.0,0.0,0.0
B3.1-alpha0,text_r0.1_early,text,0.1,early,728,0.6291208791208791,0.6113980483247373,0.617157431350059,0.6401025482348797,0.739427657417845,-0.008241758241758212,-0.010444258768075532,0.005334785612361448,-0.005301986821111049,-0.005556535338945734
B3.1-alpha0,text_r0.1_middle,text,0.1,middle,728,0.6318681318681318,0.6205504604000844,0.6124198537391539,0.6398576503217334,0.7425693604514727,-0.005494505494505475,-0.0012918466927284156,0.0005972080014563508,-0.005546884734257351,-0.0024148323053180265
B3.1-alpha0,text_r0.1_late,text,0.1,late,728,0.6414835164835165,0.6239297149528625,0.6181192333185739,0.6420285615907217,0.7458519100029943,0.004120879120879217,0.0020874078600496837,0.006296587580876367,-0.0033759734652689666,0.0008677172462036031
B3.1-alpha0,text_r0.2_early,text,0.2,early,728,0.6318681318681318,0.6152311285623903,0.6230940238552188,0.633498464575961,0.7399998721856582,-0.005494505494505475,-0.00661117853042259,0.011271378117521325,-0.011906070480029673,-0.004984320571132517
B3.1-alpha0,text_r0.2_middle,text,0.2,middle,728,0.6208791208791209,0.6099701081195344,0.6139056307294375,0.636801012226558,0.7367330324975903,-0.016483516483516425,-0.011872198973278403,0.002082984991739978,-0.008603522829432664,-0.008251160259200474
B3.1-alpha0,text_r0.2_late,text,0.2,late,728,0.6263736263736264,0.6057342973161277,0.6187619286139014,0.640906241564327,0.7373585140924002,-0.01098901098901095,-0.01610800977668514,0.006939282876203934,-0.004498293491663752,-0.007625678664390567
B3.1-alpha0,text_r0.3_early,text,0.3,early,728,0.6291208791208791,0.6130069632465063,0.6321194410313863,0.6227710918400101,0.7370400370288732,-0.008241758241758212,-0.008835343846306576,0.020296795293688774,-0.022633443215980598,-0.007944155727917512
B3.1-alpha0,text_r0.3_middle,text,0.3,middle,728,0.6263736263736264,0.6179490308946481,0.6113023201699604,0.6368740764318115,0.7402189938639634,-0.01098901098901095,-0.003893276198164708,-0.0005203255677370677,-0.008530458624179227,-0.004765198892827338
B3.1-alpha0,text_r0.3_late,text,0.3,late,728,0.625,0.6062681582619683,0.6206524870614265,0.6361259587161833,0.7364722641107888,-0.012362637362637319,-0.015574148830844514,0.008829841323728993,-0.009278576339807443,-0.00851192864600192
B3.1-alpha0,text_r0.4_early,text,0.4,early,728,0.6208791208791209,0.6075453539369402,0.6337062845692284,0.618261064286846,0.7329843232161533,-0.016483516483516425,-0.01429695315587265,0.021883638831530883,-0.027143470769144695,-0.011999869540637476
B3.1-alpha0,text_r0.4_middle,text,0.4,middle,728,0.6112637362637363,0.6034414428188882,0.607150570289897,0.6376344171273653,0.7330826564828312,-0.026098901098901006,-0.018400864273924622,-0.004672075447800461,-0.007770117928625364,-0.011901536273959512
B3.1-alpha0,text_r0.4_late,text,0.4,late,728,0.6236263736263736,0.6073719815203044,0.6193644709598559,0.6340577481772927,0.7361999543521704,-0.013736263736263687,-0.014470325572508491,0.007541825222158405,-0.011346786878698056,-0.008784238404620281
B3.1-alpha0,text_r0.5_early,text,0.5,early,728,0.6098901098901099,0.5986459165067258,0.6470670149313634,0.5987818574233541,0.7250206131549881,-0.027472527472527375,-0.023196390586087023,0.035244369193665914,-0.04662267763263661,-0.019963579601802617
B3.1-alpha0,text_r0.5_middle,text,0.5,middle,728,0.603021978021978,0.5994662697292128,0.6164177588780748,0.6271583468803077,0.7283327820112497,-0.03434065934065933,-0.022376037363600054,0.004595113140377305,-0.01824618817568302,-0.016651410745540995
B3.1-alpha0,text_r0.5_late,text,0.5,late,728,0.6112637362637363,0.5971012679856401,0.6263392586619235,0.6200912449535337,0.7285051875706223,-0.026098901098901006,-0.024741039107172735,0.014516612924226013,-0.025313290102456976,-0.016479005186168405
B3.1-alpha0,audio_r0.1_early,audio,0.1,early,728,0.6373626373626373,0.6218423070928129,0.6118408378090833,0.6454026883681161,0.744983203917832,0.0,0.0,1.8192071385758624e-05,-1.8466878746181692e-06,-9.888389587153767e-07
