Method,Accuracy,accuracy_std,Macro-F1,macro_f1_std,MAE,mae_std,Pearson,pearson_std,text_coverage,text_traceability,audio_coverage,audio_traceability,vision_coverage,vision_traceability,Coverage,Traceability,temporal_semantic_issue
maximum_overlap_hard,0.6129473684210527,0.09376395429328034,0.4816271753333538,0.08498637154319875,0.5257850098609924,0.09655279092569466,0.541864022254299,0.14698442793391422,0.8242,1.0,0.9910000000000001,1.0,1.0,1.0,0.9384,1.0,none observed
nearest_center,0.614842105263158,0.09133506794861292,0.48318710611647303,0.08485547675389418,0.521015465259552,0.09668060358203932,0.5534895848302867,0.14918802400972891,0.8242,1.0,0.9910000000000001,1.0,1.0,1.0,0.9384,1.0,152 valid text bins assigned a zero-overlap feature
overlap_weighted_mean,0.6074335839598998,0.09446510409684349,0.4712051439703614,0.0868228956836699,0.5236665296554566,0.09773611198650575,0.5482150522343071,0.1506378008604795,0.8242,1.0,0.9910000000000001,1.0,1.0,1.0,0.9384,1.0,none observed
