Modality set,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,pearson_mean,pearson_std
T,0.6519097744360903,0.07722754335140447,0.520174089356698,0.09345610564335216,0.5516316187381745,0.07970473139680602,0.4997785029660959,0.11483626403852593
A,0.6229774436090225,0.07556524221210943,0.39268574389671906,0.10501544950477486,0.5935646712779998,0.09864892714185307,0.2253508195107465,0.17998742472049378
V,0.5331679197994987,0.08571916131271991,0.4194949455663415,0.09424751935349321,0.6063781666755677,0.08722823862159271,0.4427830988825255,0.15499986934674076
T+A,0.6782656641604011,0.0725867938201269,0.5453610019892247,0.09004882094636409,0.5409333145618439,0.08360617241872173,0.5134907641491183,0.11454579053853427
T+V,0.5992130325814536,0.1049179587126976,0.47108244863027465,0.09691128372677969,0.5256738781929016,0.10208555541865114,0.5493373322755422,0.15803645832372787
A+V,0.5743508771929824,0.08930312981450941,0.46173949414712195,0.0991205363921653,0.5948900234699249,0.08325349962002498,0.4273879766526458,0.1596814904112172
T+A+V,0.6129473684210527,0.09376395429328034,0.4816271753333538,0.08498637154319875,0.5257850098609924,0.09655279092569466,0.541864022254299,0.14698442793391422
