"case","K","algorithm","makespan","singlecore_makespan","speedup","added_copy_bytes","num_subgraphs","topo_mode","candidate_count","evaluator_count","cache_hits","solver_time","evaluator_time","total_wall_time","success","failure_reason"
"case_014","5","v1_partition","3577749","17698626","4.9469","62628768","40","branch","4","4","0","7.224931","396.427826","404.765541","True",""
"case_014","5","v1","3590183","17698626","4.9297","62628768","40","branch","4","3","1","8.654214","233.708451","243.410338","True",""
"case_014","5","v1_schedule","18178273","17698626","0.9736","85156672","40","deterministic","4","4","0","1.704192","142.236783","144.990316","True",""
