model,source,clean_accuracy,clean_accuracy_sd,clean_macro_f1,clean_macro_f1_sd,clean_mae,clean_mae_sd,clean_pearson,clean_pearson_sd,clean_selection_score,clean_selection_score_sd,mean_missing_accuracy,mean_missing_accuracy_sd,mean_missing_macro_f1,mean_missing_macro_f1_sd,mean_missing_mae,mean_missing_mae_sd,mean_missing_pearson,mean_missing_pearson_sd,mean_missing_selection_score,mean_missing_selection_score_sd,robust_score,robust_score_sd
TFN,new train/valid,0.6098901098901098,0.007648027970920393,0.5872218478001521,0.008330477808399413,0.6335840502944894,0.010162236211050824,0.6056412465258505,0.009806519984485488,0.7235838098093598,0.0014251797987399292,0.576660222493556,0.019710788736756513,0.5582294972355388,0.012661330060819978,0.6451367845929304,0.010068027284838275,0.5783826197152718,0.007008243203564457,0.7041395580386438,0.006985994357009753,0.7138616839240018,0.003890143775417247
MulT,new train/valid,0.6172161172161172,0.014815649896852974,0.5891185369964647,0.023604862048320647,0.6220846408756361,0.026035437375741047,0.6369427725807251,0.011510688527654087,0.7302813167559179,0.005246071960214526,0.6000373083706417,0.020860699264952515,0.5749180638226454,0.022977226030609477,0.6308997044808817,0.01893886458683866,0.6231853534142356,0.00568324076965514,0.7203495245383978,0.007240380862642315,0.7253154206471578,0.006094926027043124
MISA,new train/valid,0.6130952380952381,0.008279826611733144,0.601020332088842,0.006018241965075563,0.9175274395072601,0.10053338536292597,0.6268757456178526,0.008729214962554103,0.7186580507687824,0.0013779534078611827,0.6078720662053995,0.00952554098428995,0.5957527868495358,0.00803583608365584,0.9247291067939492,0.10253053302043294,0.6197552784489125,0.0077074669061506325,0.7148452436201,0.0024439757216584423,0.7167516471944412,0.0019085951204905135
B0-WCE,historical locked Q2,0.6401098901098901,0.0047583813394749845,0.6139303876941798,0.009120742418254203,0.6079476792450599,0.010322510431373985,0.6409285942541115,0.004319009984128296,0.743294990430904,0.0018421588206813532,0.6348867182200516,0.006242170408063446,0.6092439311021577,0.007547019801043477,0.6111421129475354,0.009782206527790322,0.635919993532125,0.003830020264060352,0.7400584068159205,0.0011386890779047085,0.7416766986234121,0.0014580622777859659
B5-P2,historical locked Q2,0.6419413919413919,0.005718862635896011,0.624097363165142,0.0026492257186657257,0.6058807061804329,0.006591120125110355,0.6472230885155449,0.0025389570366516684,0.7471675454168919,0.001866691167738205,0.6340133631800299,0.004920062841125847,0.6163421055204057,0.0011903570003154581,0.6091291317629691,0.00601493905379249,0.6414261432341324,0.0024837171027192744,0.7423867545892516,0.0011320044549742371,0.7447771500030718,0.0014921217407082457
