model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
TFN,0.576660222493556,0.019710788736756513,0.5582294972355388,0.012661330060819978,0.6451367845929304,0.010068027284838275,0.5783826197152718,0.007008243203564457,0.7041395580386438,0.006985994357009753
MulT,0.6000373083706417,0.020860699264952515,0.5749180638226454,0.022977226030609477,0.6308997044808817,0.01893886458683866,0.6231853534142356,0.00568324076965514,0.7203495245383978,0.007240380862642315
MISA,0.6078720662053995,0.00952554098428995,0.5957527868495358,0.00803583608365584,0.9247291067939492,0.10253053302043294,0.6197552784489125,0.0077074669061506325,0.7148452436201,0.0024439757216584423
