model,seed,parameters,training_seconds,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,4840670,20.435777086764574,0.603021978021978,0.5932944158849326,0.6229022284253285,0.6044723547283191,0.7236838833000455
TFN,43,4840670,17.91663933172822,0.6181318681318682,0.5906461982589555,0.6431315104057501,0.5964715598040107,0.724956315306301
TFN,44,4840670,17.86808279156685,0.6085164835164835,0.5777249292565682,0.6347184120523897,0.6159798250452218,0.7221112308217327
MulT,42,624094,48.23874907940626,0.6277472527472527,0.5639489809864086,0.6521316114301373,0.6444849349555628,0.726312524826605
MulT,43,624094,42.53480937704444,0.6236263736263736,0.610761990402054,0.6079147771297657,0.6236936752288151,0.7362290180303019
MulT,44,624094,42.778871186077595,0.6002747252747253,0.5926446396009314,0.6062075340670052,0.6426497075577973,0.7283024074108468
MISA,42,1118852,32.752632439136505,0.6208791208791209,0.6064599103053888,1.028793419269937,0.6361543255799805,0.7184876560240443
MISA,43,1118852,30.708211436867714,0.614010989010989,0.6020458704655488,0.8905627750586923,0.6256467575702365,0.7201132772713018
MISA,44,1118852,40.849085323512554,0.6043956043956044,0.5945552154955883,0.8332261241931509,0.6188261537033409,0.7173732190110012
