model,seed,robust_score,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,0.7105149611607966,0.5573107448107449,0.5484167706685935,0.6373269451990773,0.5797555962800645,0.6973460390215477
TFN,43,0.7181298099679776,0.5967134717134718,0.5725215984708615,0.6564995846784066,0.5707894915613675,0.7113033046296541
TFN,44,0.7129402806432312,0.5759564509564511,0.5537501225671614,0.6415838239013075,0.5846027713043837,0.7037693304647298
MulT,42,0.7222086027512722,0.6148758648758649,0.5531079345444384,0.6518238435151973,0.6261444610719734,0.7181046806759395
MulT,43,0.7323377312395336,0.6090506715506717,0.5989071496980753,0.614931647668689,0.6166331289821925,0.7284464444487654
MulT,44,0.7213999279506678,0.5761853886853887,0.5727391072254225,0.625943622258759,0.626778470188541,0.7144974484904888
MISA,42,0.7166614120488105,0.6166310541310542,0.6025706599405398,1.0404347383296273,0.6270894958886339,0.7148351680735767
MISA,43,0.7187037594048552,0.6092541717541716,0.5977947324757201,0.8885941483018982,0.6204541732814521,0.7172942415384086
MISA,44,0.7148897701296579,0.5977309727309726,0.5868929681323475,0.845158433750322,0.6117221661766515,0.7124063212483148
