model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
TFN,0.6098901098901098,0.007648027970920393,0.5872218478001521,0.008330477808399413,0.6335840502944894,0.010162236211050824,0.6056412465258505,0.009806519984485488,0.7235838098093598,0.0014251797987399292
MulT,0.6172161172161172,0.014815649896852974,0.5891185369964647,0.023604862048320647,0.6220846408756361,0.026035437375741047,0.6369427725807251,0.011510688527654087,0.7302813167559179,0.005246071960214526
MISA,0.6130952380952381,0.008279826611733144,0.601020332088842,0.006018241965075563,0.9175274395072601,0.10053338536292597,0.6268757456178526,0.008729214962554103,0.7186580507687824,0.0013779534078611827
