variant,clean_accuracy_mean,clean_accuracy_sample_sd,clean_macro_f1_mean,clean_macro_f1_sample_sd,clean_mae_mean,clean_mae_sample_sd,clean_pearson_mean,clean_pearson_sample_sd,clean_selection_score_mean,clean_selection_score_sample_sd,missing_accuracy_mean,missing_accuracy_sample_sd,missing_macro_f1_mean,missing_macro_f1_sample_sd,missing_mae_mean,missing_mae_sample_sd,missing_pearson_mean,missing_pearson_sample_sd,missing_selection_score_mean,missing_selection_score_sample_sd,robust_score_mean,robust_score_sample_sd
A0,0.6401098901098901,0.0047583813394749845,0.6139303876941798,0.009120742418254203,0.6079476792450599,0.010322510431373985,0.6409285942541115,0.004319009984128296,0.743294990430904,0.0018421588206813532,0.6348867182200516,0.006242170408063446,0.6092439311021577,0.007547019801043477,0.6111421129475354,0.009782206527790322,0.635919993532125,0.003830020264060352,0.7400584068159205,0.0011386890779047085,0.7416766986234121,0.0014580622777859659
A1,0.6401098901098901,0.0036342737789349273,0.6236799481734808,0.004474865809948156,0.5942416193096766,0.005831204858863668,0.6611697983563479,0.003690557757815788,0.7488336168941497,0.0004674631703205825,0.6323175281508615,0.004773338826773321,0.6150364702534702,0.002715124052797639,0.6004587566426848,0.002126359136843799,0.6536312343268132,0.0027165102371736667,0.7435232890318227,0.0006434725978611873,0.7461784529629862,0.00016211885717083873
A2,0.6272893772893773,0.008279826611733087,0.6165218529446533,0.006058293037892602,0.610071333038242,0.014848597586096076,0.6393138170627122,0.011295934446047587,0.7404473958147532,0.0034252722696021666,0.620285578618912,0.010601997261038557,0.6093681996099544,0.008358382528414057,0.6144940894116168,0.01584334863488936,0.6318004599252783,0.013493408024662614,0.7357845816557257,0.0053366151041375045,0.7381159887352395,0.004374398455394962
A3,0.6428571428571429,0.004952680323439574,0.6229743609274946,0.008205493959133642,0.6099554581240147,0.017701966132102134,0.6488210816524207,0.00690403411852975,0.7471457003975447,0.0024136542959190457,0.6350986975986976,0.008255682161349604,0.614902592508115,0.005110764577684825,0.614147125030876,0.016657944581830383,0.6426306279368474,0.006180024654517651,0.742239687475856,0.001081185722868186,0.7446926939367003,0.0016391261503309869
A4,0.6414835164835164,0.0049526803234395895,0.6242996538336848,0.002595971568443797,0.6051662960345601,0.006314577640452767,0.6475372561830811,0.0023979608461898974,0.7471726872674122,0.001871689407331963,0.6333859042192375,0.0038374708356663434,0.6162974693419194,0.0012556616350256184,0.6085648551092611,0.005899262459442769,0.6416659051777713,0.002356443389953661,0.7422722125746248,0.000999837049478269,0.7447224499210184,0.0014351864702981533
A5,0.641025641025641,0.00649150498111626,0.6242483957089554,0.003050300650074502,0.6033953269312479,0.009818132488038298,0.6495702076227018,0.004305612362415494,0.7473733131810181,0.00181978411802725,0.6326058201058201,0.005056440056532096,0.6157603001838493,0.0025349959827504387,0.6071884941920022,0.00869454525633101,0.6434339431436437,0.0041226087892395945,0.7422212523740394,0.0009726744645484749,0.7447972827775287,0.001387942752192754
A6,0.6433150183150182,0.00804871603994827,0.6183354182374171,0.0036777589132589643,0.6058842171181417,0.008132809183632371,0.6409105108362422,0.0045263409918893495,0.7452812472793832,0.0005273423598471411,0.6355904897571564,0.007240555280805886,0.6108400316852254,0.005359290322725944,0.6091287496187064,0.007761555843934082,0.6358968396733773,0.00397021995975936,0.7407143707523215,0.0009207703715585931,0.7429978090158524,0.0006250366315170033
A7,0.6428571428571428,0.009516762678949905,0.6204042092483592,0.003895305102342568,0.6078690660046243,0.010238762548079783,0.6408190626998412,0.004406652709980461,0.7455898431136628,0.002380641926157943,0.6357176773843441,0.007660215599506597,0.6128982609843656,0.003657486954714674,0.6108677229014422,0.009493993222702468,0.6357970169998378,0.003950152352071628,0.7411757899295971,0.001413804341689153,0.74338281652163,0.0018702867073912715
