variant,condition,metric,seed42_delta,seed43_delta,seed44_delta,mean_paired_delta,sample_sd,positive_seed_count,tie_or_negative_seed_count
A1,clean,accuracy,-0.0013736263736263687,0.0,0.0013736263736263687,0.0,0.0013736263736263687,1,2
A1,clean,macro_f1,0.016583413797938484,0.005704119873843672,0.00696114776612089,0.009749560479301015,0.005951570646978829,3,0
A1,clean,mae,0.01723044795485651,0.008644049055874348,0.015243682795419211,0.013706059935383355,0.004494972142059297,3,0
A1,clean,pearson,0.022684341149436626,0.024808504118719488,0.013230767038553193,0.020241204102236437,0.006163415282772688,3,0
A1,mean_missing,accuracy,-0.004680504680504738,0.00038156288156299123,-0.0034086284086284335,-0.00256919006919006,0.00263336752942385,1,2
A1,mean_missing,macro_f1,0.010935034597781002,0.005204406349358037,0.0012381765067983608,0.005792539151312466,0.004875109163261368,3,0
A1,mean_missing,mae,0.016587272589274837,0.0019867332254397407,0.013476063099837399,0.010683356304850658,0.007690471107857982,3,0
A1,mean_missing,pearson,0.020996878615525794,0.020580086604102488,0.011556757164436271,0.017711240794688183,0.005334011666792232,3,0
A2,clean,accuracy,-0.026098901098901117,-0.0013736263736263687,-0.01098901098901095,-0.012820512820512811,0.0124639721509306,0,3
A2,clean,macro_f1,0.010122264046908303,0.007426256071105697,-0.009774124366593417,0.002591465250473527,0.010793422519510815,2,1
A2,clean,mae,0.022068183137370023,-0.017584139066697202,-0.010855005450219224,-0.002123653793182134,0.021219190379534368,1,2
A2,clean,pearson,0.014324779548916977,-0.002360749303835452,-0.01680836181927947,-0.0016147771913993154,0.01557997043185338,1,2
A2,mean_missing,accuracy,-0.029380341880341776,0.0011955636955638393,-0.0156186406186406,-0.014601139601139512,0.015313326930720699,1,2
A2,mean_missing,macro_f1,0.0063574540807477264,0.00888325207219709,-0.014867900629554898,0.00012426850779663953,0.01304487506477618,2,1
A2,mean_missing,mae,0.021058445197947306,-0.01794068885498623,-0.013173685735205165,-0.003351976464081363,0.021273988671016292,1,2
A2,mean_missing,pearson,0.012503314249124431,-0.002827218377599139,-0.022034696692065703,-0.004119533606846804,0.01730523357057776,1,2
A3,clean,accuracy,0.0027472527472527375,0.004120879120879217,0.0013736263736263687,0.0027472527472527744,0.0013736263736264243,3,0
