variant,total_parameters,added_total_parameters_vs_A0,stage2_trainable_parameters_by_seed,stage2_trainable_parameters_mean
A0,163460,0,0/0/0,0.0
A1,164340,880,880/880/880,880.0
A2,263028,99568,99568/99568/99568,99568.0
A3,164340,880,880/880/880,880.0
A4,164343,883,883/883/883,883.0
A5,164230,770,770/770/770,770.0
A6,163536,76,76/76/76,76.0
A7,163497,37,37/37/37,37.0
